City,Country,Latitude,Longitude,Temperature,Humidity,Wind,Cloudiness,Datetime
albany,US,42.6,-73.97,39.79,33,24.16,40,1587069002
yar-sale,RU,66.83,70.83,16.97,98,10.83,97,1587069015
ushuaia,AR,-54.8,-68.3,57.2,58,4.7,99,1587069008
gardabani,GE,41.46,45.09,46.4,70,34.45,82,1587069121
esperance,AU,-33.87,121.9,51.8,87,6.93,0,1587069048
olavarria,AR,-36.89,-60.32,68.0,48,1.99,0,1587069063
bambous virieux,MU,-20.34,57.76,76.51,69,18.34,40,1587069033
kahului,US,20.89,-156.47,75.43,57,20.8,20,1587069036
mecca,SA,21.43,39.83,70.16,43,2.53,0,1587068964
sao miguel do araguaia,BR,-13.28,-50.16,73.85,86,2.84,98,1587069122
littleton,US,39.61,-105.02,26.71,86,12.75,90,1587069111
aklavik,CA,68.22,-135.01,35.2,80,17.22,90,1587069066
cidreira,BR,-30.18,-50.21,67.93,71,12.97,5,1587069069
castro,BR,-24.79,-50.01,56.7,42,1.36,0,1587068885
mingaora,PK,34.78,72.36,62.11,35,6.93,100,1587069119
rikitea,PF,-23.12,-134.97,76.37,76,12.3,34,1587069013
port alfred,ZA,-33.59,26.89,60.01,89,3.0,0,1587069014
hasaki,JP,35.73,140.83,46.4,61,6.93,75,1587069069
avarua,CK,-21.21,-159.78,80.6,65,4.7,84,1587069004
busselton,AU,-33.65,115.33,51.91,56,9.19,17,1587069011
rosetta,EG,31.4,30.42,62.6,77,13.87,40,1587069124
saint george,US,37.1,-113.58,68.23,21,4.7,1,1587068949
carnarvon,AU,-24.87,113.63,75.2,73,9.17,29,1587069015
saskylakh,RU,71.92,114.08,-12.35,89,0.76,0,1587069084
manavalakurichi,IN,8.13,77.3,78.8,94,2.17,75,1587069124
ilulissat,GL,69.22,-51.1,35.6,64,3.36,20,1587069110
maloy,NO,61.94,5.11,37.04,69,12.75,40,1587069125
monte patria,CL,-30.69,-70.95,79.99,26,7.25,1,1587069125
aksu,CN,41.12,80.26,56.66,41,15.3,99,1587069110
jamestown,US,42.1,-79.24,35.02,71,17.22,90,1587069000
uttiramerur,IN,12.6,79.77,84.2,79,6.08,20,1587069125
lebu,CL,-37.62,-73.65,63.52,67,10.69,11,1587069011
morant bay,JM,17.88,-76.41,85.53,70,17.22,20,1587069126
yellowknife,CA,62.46,-114.35,30.09,68,10.29,75,1587069005
tuktoyaktuk,CA,69.45,-133.04,21.2,85,16.11,90,1587069002
upernavik,GL,72.79,-56.15,27.82,91,10.65,100,1587068993
ulladulla,AU,-35.35,150.47,53.58,100,4.7,55,1587069071
laguna de perlas,NI,12.34,-83.67,87.8,66,4.7,20,1587069127
vila do maio,CV,15.13,-23.22,71.24,77,14.43,57,1587069127
uyskoye,RU,54.38,60.0,44.83,69,8.5,100,1587069127
svobodnyy,RU,51.4,128.13,40.15,60,4.21,1,1587069127
ankang,CN,32.68,109.02,58.5,54,5.21,100,1587069128
medicine hat,CA,50.05,-110.67,44.98,36,10.29,75,1587069016
mataura,NZ,-46.19,168.86,44.01,95,4.0,100,1587069005
coahuayana,MX,18.73,-103.68,87.8,29,11.41,5,1587069128
hermanus,ZA,-34.42,19.23,61.11,92,1.21,100,1587069014
fortuna,US,40.6,-124.16,57.54,87,10.29,20,1587069077
batagay-alyta,RU,67.8,130.41,-6.38,81,10.33,100,1587069128
obihiro,JP,42.92,143.2,34.21,83,0.89,0,1587069129
port elizabeth,ZA,-33.92,25.57,59.0,82,3.36,0,1587068879
zhezkazgan,KZ,47.8,67.71,47.21,45,9.82,0,1587069094
puerto ayora,EC,-0.74,-90.35,82.72,83,14.99,75,1587069033
bluff,NZ,-46.6,168.33,44.01,95,5.01,100,1587069129
nador,MA,35.17,-2.93,61.77,88,3.36,40,1587069130
vila franca do campo,PT,37.72,-25.43,60.8,72,8.05,20,1587069089
ipixuna,BR,-1.76,-48.8,84.2,70,6.93,20,1587069130
butaritari,KI,3.07,172.79,83.71,76,12.26,100,1587069010
arraial do cabo,BR,-22.97,-42.03,78.06,78,4.7,40,1587069026
khatanga,RU,71.97,102.5,-0.49,88,11.36,0,1587069044
bredasdorp,ZA,-34.53,20.04,60.39,82,3.36,100,1587068999
dedza,MW,-14.38,34.33,59.36,63,0.72,2,1587069131
hobart,AU,-42.88,147.33,44.35,61,16.11,20,1587068827
gat,IL,31.61,34.76,59.77,77,3.36,20,1587069131
soto la marina,MX,23.77,-98.22,78.28,71,9.44,100,1587069131
lagoa,PT,39.05,-27.98,59.31,81,16.93,12,1587069050
vaini,TO,-21.2,-175.2,77.0,83,4.7,75,1587069010
pedra branca,BR,-5.45,-39.72,73.8,82,3.02,31,1587069132
atuona,PF,-9.8,-139.03,82.72,72,12.77,40,1587069039
barrow,US,71.29,-156.79,17.6,85,11.41,90,1587069001
oromocto,CA,45.84,-66.48,40.8,23,11.41,75,1587069132
coquimbo,CL,-29.95,-71.34,66.2,63,12.75,17,1587069030
bonaventure,CA,48.05,-65.49,36.45,29,13.87,20,1587069133
qasigiannguit,GL,68.82,-51.19,35.6,64,3.36,20,1587069133
ayr,GB,55.46,-4.63,48.04,66,12.75,20,1587069133
karratha,AU,-20.74,116.85,81.68,73,10.6,91,1587069133
hithadhoo,MV,-0.6,73.08,84.99,69,6.35,95,1587069025
mae sai,TH,20.43,99.88,75.09,88,0.16,85,1587069133
te anau,NZ,-45.42,167.72,49.78,79,2.8,98,1587069071
nikolskoye,RU,59.7,30.79,35.8,74,11.18,20,1587069026
verkhnyaya inta,RU,65.98,60.31,32.36,94,4.45,100,1587069134
sao filipe,CV,14.9,-24.5,73.11,71,14.5,78,1587069041
kruisfontein,ZA,-34.0,24.73,56.84,61,5.64,4,1587069022
new norfolk,AU,-42.78,147.06,43.79,61,16.11,20,1587069016
hilo,US,19.73,-155.09,70.65,65,4.7,20,1587069029
saint-philippe,RE,-21.36,55.77,68.4,61,18.34,27,1587069135
victor harbor,AU,-35.57,138.62,55.72,59,13.87,75,1587069135
pollachi,IN,10.67,77.02,76.15,68,5.1,77,1587069135
kapaa,US,22.08,-159.32,78.46,69,11.41,20,1587068761
tommot,RU,58.96,126.29,10.87,90,3.67,46,1587069136
kenai,US,60.55,-151.26,40.06,100,8.05,90,1587069136
coronado,US,32.69,-117.18,71.78,72,8.05,20,1587068893
grand-santi,GF,4.25,-54.38,84.29,63,1.7,98,1587069136
jos,NG,9.92,8.9,76.35,13,1.07,0,1587068886
georgetown,MY,5.41,100.34,81.16,94,3.36,20,1587069061
shaowu,CN,27.34,117.48,62.76,67,1.25,0,1587069137
arinos,BR,-15.92,-46.11,72.9,76,3.47,83,1587069137
hamilton,US,39.18,-84.53,49.5,37,12.75,90,1587069030
lamu,KE,-2.27,40.9,81.91,84,8.75,100,1587069055
camacha,PT,33.08,-16.33,63.12,77,10.29,20,1587069117
perbaungan,ID,3.57,98.96,78.8,88,5.82,40,1587069138
victoria,HK,22.29,114.16,70.86,83,11.41,40,1587069003
constitucion,CL,-35.33,-72.42,63.55,62,6.55,62,1587069073
djibo,BF,14.1,-1.63,90.64,9,11.12,0,1587069138
pouebo,NC,-20.4,164.57,76.87,77,9.24,15,1587069138
